,verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob,en
282,arreglar,2438,arreglo,arreglas,arregla,arreglamos,arregláis,arreglan,arreglás,arreglaba,arreglabas,arreglaba,arreglábamos,arreglabais,arreglaban,arreglabas,arreglé,arreglaste,arregló,arreglamos,arreglasteis,arreglaron,arreglaste,arreglaré,arreglarás,arreglará,arreglaremos,arreglaréis,arreglarán,arreglarás,arreglaría,arreglarías,arreglaría,arreglaríamos,arreglaríais,arreglarían,arreglarías,0.0007014692875569,fix
283,adelgazar,2436,adelgazo,adelgazas,adelgaza,adelgazamos,adelgazáis,adelgazan,adelgazás,adelgazaba,adelgazabas,adelgazaba,adelgazábamos,adelgazabais,adelgazaban,adelgazabas,adelgacé,adelgazaste,adelgazó,adelgazamos,adelgazasteis,adelgazaron,adelgazaste,adelgazaré,adelgazarás,adelgazará,adelgazaremos,adelgazaréis,adelgazarán,adelgazarás,adelgazaría,adelgazarías,adelgazaría,adelgazaríamos,adelgazaríais,adelgazarían,adelgazarías,0.0007008938410536,weight loss
284,meter,2434,meto,metes,mete,metemos,metéis,meten,metés,metía,metías,metía,metíamos,metíais,metían,metías,metí,metiste,metió,metimos,metisteis,metieron,metiste,meteré,meterás,meterá,meteremos,meteréis,meterán,meterás,metería,meterías,metería,meteríamos,meteríais,meterían,meterías,0.0007003183945502,enter
285,saludar,2429,saludo,saludas,saluda,saludamos,saludáis,saludan,saludás,saludaba,saludabas,saludaba,saludábamos,saludabais,saludaban,saludabas,saludé,saludaste,saludó,saludamos,saludasteis,saludaron,saludaste,saludaré,saludarás,saludará,saludaremos,saludaréis,saludarán,saludarás,saludaría,saludarías,saludaría,saludaríamos,saludaríais,saludarían,saludarías,0.0006988797782919,Say hello.
286,fingir,2424,finjo,finges,finge,fingimos,fingís,fingen,fingís,fingía,fingías,fingía,fingíamos,fingíais,fingían,fingías,fingí,fingiste,fingió,fingimos,fingisteis,fingieron,fingiste,fingiré,fingirás,fingirá,fingiremos,fingiréis,fingirán,fingirás,fingiría,fingirías,fingiría,fingiríamos,fingiríais,fingirían,fingirías,0.0006974411620336,Pretend.
287,pelear,2420,peleo,peleas,pelea,peleamos,peleáis,pelean,peleás,peleaba,peleabas,peleaba,peleábamos,peleabais,peleaban,peleabas,peleé,peleaste,peleó,peleamos,peleasteis,pelearon,peleaste,pelearé,pelearás,peleará,pelearemos,pelearéis,pelearán,pelearás,pelearía,pelearías,pelearía,pelearíamos,pelearíais,pelearían,pelearías,0.0006962902690269,fight
288,picar,2417,pico,picas,pica,picamos,picáis,pican,picás,picaba,picabas,picaba,picábamos,picabais,picaban,picabas,piqué,picaste,picó,picamos,picasteis,picaron,picaste,picaré,picarás,picará,picaremos,picaréis,picarán,picarás,picaría,picarías,picaría,picaríamos,picaríais,picarían,picarías,0.000695427099272,picar
289,tirar,2414,tiro,tiras,tira,tiramos,tiráis,tiran,tirás,tiraba,tirabas,tiraba,tirábamos,tirabais,tiraban,tirabas,tiré,tiraste,tiró,tiramos,tirasteis,tiraron,tiraste,tiraré,tirarás,tirará,tiraremos,tiraréis,tirarán,tirarás,tiraría,tirarías,tiraría,tiraríamos,tiraríais,tirarían,tirarías,0.000694563929517,pull
290,cagar,2401,cago,cagas,caga,cagamos,cagáis,cagan,cagás,cagaba,cagabas,cagaba,cagábamos,cagabais,cagaban,cagabas,cagué,cagaste,cagó,cagamos,cagasteis,cagaron,cagaste,cagaré,cagarás,cagará,cagaremos,cagaréis,cagarán,cagarás,cagaría,cagarías,cagaría,cagaríamos,cagaríais,cagarían,cagarías,0.0006908235272453,shit.
291,vaciar,2395,vacío,vacías,vacía,vaciamos,vaciáis,vacían,vaciás,vaciaba,vaciabas,vaciaba,vaciábamos,vaciabais,vaciaban,vaciabas,vacié,vaciaste,vació,vaciamos,vaciasteis,vaciaron,vaciaste,vaciaré,vaciarás,vaciará,vaciaremos,vaciaréis,vaciarán,vaciarás,vaciaría,vaciarías,vaciaría,vaciaríamos,vaciaríais,vaciarían,vaciarías,0.0006890971877353,empty
292,dedicar,2392,dedico,dedicas,dedica,dedicamos,dedicáis,dedican,dedicás,dedicaba,dedicabas,dedicaba,dedicábamos,dedicabais,dedicaban,dedicabas,dediqué,dedicaste,dedicó,dedicamos,dedicasteis,dedicaron,dedicaste,dedicaré,dedicarás,dedicará,dedicaremos,dedicaréis,dedicarán,dedicarás,dedicaría,dedicarías,dedicaría,dedicaríamos,dedicaríais,dedicarían,dedicarías,0.0006882340179804,dedicating
293,mudar,2388,mudo,mudas,muda,mudamos,mudáis,mudan,mudás,mudaba,mudabas,mudaba,mudábamos,mudabais,mudaban,mudabas,mudé,mudaste,mudó,mudamos,mudasteis,mudaron,mudaste,mudaré,mudarás,mudará,mudaremos,mudaréis,mudarán,mudarás,mudaría,mudarías,mudaría,mudaríamos,mudaríais,mudarían,mudarías,0.0006870831249737,move
294,sorprender,2386,sorprendo,sorprendes,sorprende,sorprendemos,sorprendéis,sorprenden,sorprendés,sorprendía,sorprendías,sorprendía,sorprendíamos,sorprendíais,sorprendían,sorprendías,sorprendí,sorprendiste,sorprendió,sorprendimos,sorprendisteis,sorprendieron,sorprendiste,sorprenderé,sorprenderás,sorprenderá,sorprenderemos,sorprenderéis,sorprenderán,sorprenderás,sorprendería,sorprenderías,sorprendería,sorprenderíamos,sorprenderíais,sorprenderían,sorprenderías,0.0006865076784704,surprise
295,abatir,2386,abato,abates,abate,abatimos,abatís,abaten,abatís,abatía,abatías,abatía,abatíamos,abatíais,abatían,abatías,abatí,abatiste,abatió,abatimos,abatisteis,abatieron,abatiste,abatiré,abatirás,abatirá,abatiremos,abatiréis,abatirán,abatirás,abatiría,abatirías,abatiría,abatiríamos,abatiríais,abatirían,abatirías,0.0006865076784704,abatir
296,unir,2386,uno,unes,une,unimos,unís,unen,unís,unía,unías,unía,uníamos,uníais,unían,unías,uní,uniste,unió,unimos,unisteis,unieron,uniste,uniré,unirás,unirá,uniremos,uniréis,unirán,unirás,uniría,unirías,uniría,uniríamos,uniríais,unirían,unirías,0.0006865076784704,join
297,saltar,2383,salto,saltas,salta,saltamos,saltáis,saltan,saltás,saltaba,saltabas,saltaba,saltábamos,saltabais,saltaban,saltabas,salté,saltaste,saltó,saltamos,saltasteis,saltaron,saltaste,saltaré,saltarás,saltará,saltaremos,saltaréis,saltarán,saltarás,saltaría,saltarías,saltaría,saltaríamos,saltaríais,saltarían,saltarías,0.0006856445087154,jump
298,quemar,2382,quemo,quemas,quema,quemamos,quemáis,queman,quemás,quemaba,quemabas,quemaba,quemábamos,quemabais,quemaban,quemabas,quemé,quemaste,quemó,quemamos,quemasteis,quemaron,quemaste,quemaré,quemarás,quemará,quemaremos,quemaréis,quemarán,quemarás,quemaría,quemarías,quemaría,quemaríamos,quemaríais,quemarían,quemarías,0.0006853567854637,burn
299,recomenzar,2378,recomienzo,recomienzas,recomienza,recomenzamos,recomenzáis,recomienzan,recomenzás,recomenzaba,recomenzabas,recomenzaba,recomenzábamos,recomenzabais,recomenzaban,recomenzabas,recomencé,recomenzaste,recomenzó,recomenzamos,recomenzasteis,recomenzaron,recomenzaste,recomenzaré,recomenzarás,recomenzará,recomenzaremos,recomenzaréis,recomenzarán,recomenzarás,recomenzaría,recomenzarías,recomenzaría,recomenzaríamos,recomenzaríais,recomenzarían,recomenzarías,0.0006842058924571,restart
300,odiar,2367,odio,odias,odia,odiamos,odiáis,odian,odiás,odiaba,odiabas,odiaba,odiábamos,odiabais,odiaban,odiabas,odié,odiaste,odió,odiamos,odiasteis,odiaron,odiaste,odiaré,odiarás,odiará,odiaremos,odiaréis,odiarán,odiarás,odiaría,odiarías,odiaría,odiaríamos,odiaríais,odiarían,odiarías,0.0006810409366888,Hate
301,actuar,2365,actúo,actúas,actúa,actuamos,actuáis,actúan,actuás,actuaba,actuabas,actuaba,actuábamos,actuabais,actuaban,actuabas,actué,actuaste,actuó,actuamos,actuasteis,actuaron,actuaste,actuaré,actuarás,actuará,actuaremos,actuaréis,actuarán,actuarás,actuaría,actuarías,actuaría,actuaríamos,actuaríais,actuarían,actuarías,0.0006804654901854,action
302,aparecer,2361,aparezco,apareces,aparece,aparecemos,aparecéis,aparecen,aparecés,aparecía,aparecías,aparecía,aparecíamos,aparecíais,aparecían,aparecías,aparecí,apareciste,apareció,aparecimos,aparecisteis,aparecieron,apareciste,apareceré,aparecerás,aparecerá,apareceremos,apareceréis,aparecerán,aparecerás,aparecería,aparecerías,aparecería,apareceríamos,apareceríais,aparecerían,aparecerías,0.0006793145971788,appear
303,salvar,2358,salvo,salvas,salva,salvamos,salváis,salvan,salvás,salvaba,salvabas,salvaba,salvábamos,salvabais,salvaban,salvabas,salvé,salvaste,salvó,salvamos,salvasteis,salvaron,salvaste,salvaré,salvarás,salvará,salvaremos,salvaréis,salvarán,salvarás,salvaría,salvarías,salvaría,salvaríamos,salvaríais,salvarían,salvarías,0.0006784514274238,save
304,agradecer,2357,agradezco,agradeces,agradece,agradecemos,agradecéis,agradecen,agradecés,agradecía,agradecías,agradecía,agradecíamos,agradecíais,agradecían,agradecías,agradecí,agradeciste,agradeció,agradecimos,agradecisteis,agradecieron,agradeciste,agradeceré,agradecerás,agradecerá,agradeceremos,agradeceréis,agradecerán,agradecerás,agradecería,agradecerías,agradecería,agradeceríamos,agradeceríais,agradecerían,agradecerías,0.0006781637041721,Thank you.
305,dibujar,2355,dibujo,dibujas,dibuja,dibujamos,dibujáis,dibujan,dibujás,dibujaba,dibujabas,dibujaba,dibujábamos,dibujabais,dibujaban,dibujabas,dibujé,dibujaste,dibujó,dibujamos,dibujasteis,dibujaron,dibujaste,dibujaré,dibujarás,dibujará,dibujaremos,dibujaréis,dibujarán,dibujarás,dibujaría,dibujarías,dibujaría,dibujaríamos,dibujaríais,dibujarían,dibujarías,0.0006775882576688,draw
306,guardar,2352,guardo,guardas,guarda,guardamos,guardáis,guardan,guardás,guardaba,guardabas,guardaba,guardábamos,guardabais,guardaban,guardabas,guardé,guardaste,guardó,guardamos,guardasteis,guardaron,guardaste,guardaré,guardarás,guardará,guardaremos,guardaréis,guardarán,guardarás,guardaría,guardarías,guardaría,guardaríamos,guardaríais,guardarían,guardarías,0.0006767250879138,save
307,impedir,2345,impido,impides,impide,impedimos,impedís,impiden,impedís,impedía,impedías,impedía,impedíamos,impedíais,impedían,impedías,impedí,impediste,impidió,impedimos,impedisteis,impidieron,impediste,impediré,impedirás,impedirá,impediremos,impediréis,impedirán,impedirás,impediría,impedirías,impediría,impediríamos,impediríais,impedirían,impedirías,0.0006747110251521,prevent
308,aprobar,2343,apruebo,apruebas,aprueba,aprobamos,aprobáis,aprueban,aprobás,aprobaba,aprobabas,aprobaba,aprobábamos,aprobabais,aprobaban,aprobabas,aprobé,aprobaste,aprobó,aprobamos,aprobasteis,aprobaron,aprobaste,aprobaré,aprobarás,aprobará,aprobaremos,aprobaréis,aprobarán,aprobarás,aprobaría,aprobarías,aprobaría,aprobaríamos,aprobaríais,aprobarían,aprobarías,0.0006741355786488,approve
309,fumar,2338,fumo,fumas,fuma,fumamos,fumáis,fuman,fumás,fumaba,fumabas,fumaba,fumábamos,fumabais,fumaban,fumabas,fumé,fumaste,fumó,fumamos,fumasteis,fumaron,fumaste,fumaré,fumarás,fumará,fumaremos,fumaréis,fumarán,fumarás,fumaría,fumarías,fumaría,fumaríamos,fumaríais,fumarían,fumarías,0.0006726969623905,smoking
310,celebrar,2336,celebro,celebras,celebra,celebramos,celebráis,celebran,celebrás,celebraba,celebrabas,celebraba,celebrábamos,celebrabais,celebraban,celebrabas,celebré,celebraste,celebró,celebramos,celebrasteis,celebraron,celebraste,celebraré,celebrarás,celebrará,celebraremos,celebraréis,celebrarán,celebrarás,celebraría,celebrarías,celebraría,celebraríamos,celebraríais,celebrarían,celebrarías,0.0006721215158872,celebrate
311,recorrer,2329,recorro,recorres,recorre,recorremos,recorréis,recorren,recorrés,recorría,recorrías,recorría,recorríamos,recorríais,recorrían,recorrías,recorrí,recorriste,recorrió,recorrimos,recorristeis,recorrieron,recorriste,recorreré,recorrerás,recorrerá,recorreremos,recorreréis,recorrerán,recorrerás,recorrería,recorrerías,recorrería,recorreríamos,recorreríais,recorrerían,recorrerías,0.0006701074531255,travel
312,reunir,2326,reúno,reúnes,reúne,reunimos,reunís,reúnen,reunís,reunía,reunías,reunía,reuníamos,reuníais,reunían,reunías,reuní,reuniste,reunió,reunimos,reunisteis,reunieron,reuniste,reuniré,reunirás,reunirá,reuniremos,reuniréis,reunirán,reunirás,reuniría,reunirías,reuniría,reuniríamos,reuniríais,reunirían,reunirías,0.0006692442833705,assemble
313,quebrar,2325,quiebro,quiebras,quiebra,quebramos,quebráis,quiebran,quebrás,quebraba,quebrabas,quebraba,quebrábamos,quebrabais,quebraban,quebrabas,quebré,quebraste,quebró,quebramos,quebrasteis,quebraron,quebraste,quebraré,quebrarás,quebrará,quebraremos,quebraréis,quebrarán,quebrarás,quebraría,quebrarías,quebraría,quebraríamos,quebraríais,quebrarían,quebrarías,0.0006689565601189,break
314,reducir,2320,reduzco,reduces,reduce,reducimos,reducís,reducen,reducís,reducía,reducías,reducía,reducíamos,reducíais,reducían,reducías,reduje,redujiste,redujo,redujimos,redujisteis,redujeron,redujiste,reduciré,reducirás,reducirá,reduciremos,reduciréis,reducirán,reducirás,reduciría,reducirías,reduciría,reduciríamos,reduciríais,reducirían,reducirías,0.0006675179438605,reduce
315,tardar,2313,tardo,tardas,tarda,tardamos,tardáis,tardan,tardás,tardaba,tardabas,tardaba,tardábamos,tardabais,tardaban,tardabas,tardé,tardaste,tardó,tardamos,tardasteis,tardaron,tardaste,tardaré,tardarás,tardará,tardaremos,tardaréis,tardarán,tardarás,tardaría,tardarías,tardaría,tardaríamos,tardaríais,tardarían,tardarías,0.0006655038810989,delay
316,merecer,2312,merezco,mereces,merece,merecemos,merecéis,merecen,merecés,merecía,merecías,merecía,merecíamos,merecíais,merecían,merecías,merecí,mereciste,mereció,merecimos,merecisteis,merecieron,mereciste,mereceré,merecerás,merecerá,mereceremos,mereceréis,merecerán,merecerás,merecería,merecerías,merecería,mereceríamos,mereceríais,merecerían,merecerías,0.0006652161578472,deserve
317,realizar,2311,realizo,realizas,realiza,realizamos,realizáis,realizan,realizás,realizaba,realizabas,realizaba,realizábamos,realizabais,realizaban,realizabas,realicé,realizaste,realizó,realizamos,realizasteis,realizaron,realizaste,realizaré,realizarás,realizará,realizaremos,realizaréis,realizarán,realizarás,realizaría,realizarías,realizaría,realizaríamos,realizaríais,realizarían,realizarías,0.0006649284345956,perform
318,marchar,2307,marcho,marchas,marcha,marchamos,marcháis,marchan,marchás,marchaba,marchabas,marchaba,marchábamos,marchabais,marchaban,marchabas,marché,marchaste,marchó,marchamos,marchasteis,marcharon,marchaste,marcharé,marcharás,marchará,marcharemos,marcharéis,marcharán,marcharás,marcharía,marcharías,marcharía,marcharíamos,marcharíais,marcharían,marcharías,0.0006637775415889,march
319,ejercer,2305,ejerzo,ejerces,ejerce,ejercemos,ejercéis,ejercen,ejercés,ejercía,ejercías,ejercía,ejercíamos,ejercíais,ejercían,ejercías,ejercí,ejerciste,ejerció,ejercimos,ejercisteis,ejercieron,ejerciste,ejerceré,ejercerás,ejercerá,ejerceremos,ejerceréis,ejercerán,ejercerás,ejercería,ejercerías,ejercería,ejerceríamos,ejerceríais,ejercerían,ejercerías,0.0006632020950856,exercise
320,cuestionar,2301,cuestiono,cuestionas,cuestiona,cuestionamos,cuestionáis,cuestionan,cuestionás,cuestionaba,cuestionabas,cuestionaba,cuestionábamos,cuestionabais,cuestionaban,cuestionabas,cuestioné,cuestionaste,cuestionó,cuestionamos,cuestionasteis,cuestionaron,cuestionaste,cuestionaré,cuestionarás,cuestionará,cuestionaremos,cuestionaréis,cuestionarán,cuestionarás,cuestionaría,cuestionarías,cuestionaría,cuestionaríamos,cuestionaríais,cuestionarían,cuestionarías,0.0006620512020789,question
321,competir,2299,compito,compites,compite,competimos,competís,compiten,competís,competía,competías,competía,competíamos,competíais,competían,competías,competí,competiste,compitió,competimos,competisteis,compitieron,competiste,competiré,competirás,competirá,competiremos,competiréis,competirán,competirás,competiría,competirías,competiría,competiríamos,competiríais,competirían,competirías,0.0006614757555756,compete
322,chocar,2298,choco,chocas,choca,chocamos,chocáis,chocan,chocás,chocaba,chocabas,chocaba,chocábamos,chocabais,chocaban,chocabas,choqué,chocaste,chocó,chocamos,chocasteis,chocaron,chocaste,chocaré,chocarás,chocará,chocaremos,chocaréis,chocarán,chocarás,chocaría,chocarías,chocaría,chocaríamos,chocaríais,chocarían,chocarías,0.0006611880323239,collide
323,ordenar,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006609003090723,sort
324,marcar,2291,marco,marcas,marca,marcamos,marcáis,marcan,marcás,marcaba,marcabas,marcaba,marcábamos,marcabais,marcaban,marcabas,marqué,marcaste,marcó,marcamos,marcasteis,marcaron,marcaste,marcaré,marcarás,marcará,marcaremos,marcaréis,marcarán,marcarás,marcaría,marcarías,marcaría,marcaríamos,marcaríais,marcarían,marcarías,0.0006591739695623,mark
325,averiguar,2287,averiguo,averiguas,averigua,averiguamos,averiguáis,averiguan,averiguás,averiguaba,averiguabas,averiguaba,averiguábamos,averiguabais,averiguaban,averiguabas,averigüé,averiguaste,averiguó,averiguamos,averiguasteis,averiguaron,averiguaste,averiguaré,averiguarás,averiguará,averiguaremos,averiguaréis,averiguarán,averiguarás,averiguaría,averiguarías,averiguaría,averiguaríamos,averiguaríais,averiguarían,averiguarías,0.0006580230765556,find out
326,cancelar,2286,cancelo,cancelas,cancela,cancelamos,canceláis,cancelan,cancelás,cancelaba,cancelabas,cancelaba,cancelábamos,cancelabais,cancelaban,cancelabas,cancelé,cancelaste,canceló,cancelamos,cancelasteis,cancelaron,cancelaste,cancelaré,cancelarás,cancelará,cancelaremos,cancelaréis,cancelarán,cancelarás,cancelaría,cancelarías,cancelaría,cancelaríamos,cancelaríais,cancelarían,cancelarías,0.000657735353304,cancel
327,demostrar,2286,demuestro,demuestras,demuestra,demostramos,demostráis,demuestran,demostrás,demostraba,demostrabas,demostraba,demostrábamos,demostrabais,demostraban,demostrabas,demostré,demostraste,demostró,demostramos,demostrasteis,demostraron,demostraste,demostraré,demostrarás,demostrará,demostraremos,demostraréis,demostrarán,demostrarás,demostraría,demostrarías,demostraría,demostraríamos,demostraríais,demostrarían,demostrarías,0.000657735353304,demonstrate
328,convertir,2281,convierto,conviertes,convierte,convertimos,convertís,convierten,convertís,convertía,convertías,convertía,convertíamos,convertíais,convertían,convertías,convertí,convertiste,convirtió,convertimos,convertisteis,convirtieron,convertiste,convertiré,convertirás,convertirá,convertiremos,convertiréis,convertirán,convertirás,convertiría,convertirías,convertiría,convertiríamos,convertiríais,convertirían,convertirías,0.0006562967370456,convert
329,lanzar,2273,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lanzás,lanzaba,lanzabas,lanzaba,lanzábamos,lanzabais,lanzaban,lanzabas,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron,lanzaste,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán,lanzarás,lanzaría,lanzarías,lanzaría,lanzaríamos,lanzaríais,lanzarían,lanzarías,0.0006539949510323,launch
330,acercar,2272,acerco,acercas,acerca,acercamos,acercáis,acercan,acercás,acercaba,acercabas,acercaba,acercábamos,acercabais,acercaban,acercabas,acerqué,acercaste,acercó,acercamos,acercasteis,acercaron,acercaste,acercaré,acercarás,acercará,acercaremos,acercaréis,acercarán,acercarás,acercaría,acercarías,acercaría,acercaríamos,acercaríais,acercarían,acercarías,0.0006537072277807,zoom in
331,pintar,2269,pinto,pintas,pinta,pintamos,pintáis,pintan,pintás,pintaba,pintabas,pintaba,pintábamos,pintabais,pintaban,pintabas,pinté,pintaste,pintó,pintamos,pintasteis,pintaron,pintaste,pintaré,pintarás,pintará,pintaremos,pintaréis,pintarán,pintarás,pintaría,pintarías,pintaría,pintaríamos,pintaríais,pintarían,pintarías,0.0006528440580257,paint
332,esconder,2268,escondo,escondes,esconde,escondemos,escondéis,esconden,escondés,escondía,escondías,escondía,escondíamos,escondíais,escondían,escondías,escondí,escondiste,escondió,escondimos,escondisteis,escondieron,escondiste,esconderé,esconderás,esconderá,esconderemos,esconderéis,esconderán,esconderás,escondería,esconderías,escondería,esconderíamos,esconderíais,esconderían,esconderías,0.000652556334774,Hide
333,afeitar,2268,afeito,afeitas,afeita,afeitamos,afeitáis,afeitan,afeitás,afeitaba,afeitabas,afeitaba,afeitábamos,afeitabais,afeitaban,afeitabas,afeité,afeitaste,afeitó,afeitamos,afeitasteis,afeitaron,afeitaste,afeitaré,afeitarás,afeitará,afeitaremos,afeitaréis,afeitarán,afeitarás,afeitaría,afeitarías,afeitaría,afeitaríamos,afeitaríais,afeitarían,afeitarías,0.000652556334774,shave
334,pegar,2267,pego,pegas,pega,pegamos,pegáis,pegan,pegás,pegaba,pegabas,pegaba,pegábamos,pegabais,pegaban,pegabas,pegué,pegaste,pegó,pegamos,pegasteis,pegaron,pegaste,pegaré,pegarás,pegará,pegaremos,pegaréis,pegarán,pegarás,pegaría,pegarías,pegaría,pegaríamos,pegaríais,pegarían,pegarías,0.0006522686115223,paste
335,enfocar,2257,enfoco,enfocas,enfoca,enfocamos,enfocáis,enfocan,enfocás,enfocaba,enfocabas,enfocaba,enfocábamos,enfocabais,enfocaban,enfocabas,enfoqué,enfocaste,enfocó,enfocamos,enfocasteis,enfocaron,enfocaste,enfocaré,enfocarás,enfocará,enfocaremos,enfocaréis,enfocarán,enfocarás,enfocaría,enfocarías,enfocaría,enfocaríamos,enfocaríais,enfocarían,enfocarías,0.0006493913790057,focus
336,abolir,2250,abolo,aboles,abole,abolimos,abolís,abolen,abolís,abolía,abolías,abolía,abolíamos,abolíais,abolían,abolías,abolí,aboliste,abolió,abolimos,abolisteis,abolieron,aboliste,aboliré,abolirás,abolirá,aboliremos,aboliréis,abolirán,abolirás,aboliría,abolirías,aboliría,aboliríamos,aboliríais,abolirían,abolirías,0.0006473773162441,abolish
337,colegir,2249,colijo,coliges,colige,colegimos,colegís,coligen,colegís,colegía,colegías,colegía,colegíamos,colegíais,colegían,colegías,colegí,colegiste,coligió,colegimos,colegisteis,coligieron,colegiste,colegiré,colegirás,colegirá,colegiremos,colegiréis,colegirán,colegirás,colegiría,colegirías,colegiría,colegiríamos,colegiríais,colegirían,colegirías,0.0006470895929924,colgir
338,gemir,2248,gimo,gimes,gime,gemimos,gemís,gimen,gemís,gemía,gemías,gemía,gemíamos,gemíais,gemían,gemías,gemí,gemiste,gimió,gemimos,gemisteis,gimieron,gemiste,gemiré,gemirás,gemirá,gemiremos,gemiréis,gemirán,gemirás,gemiría,gemirías,gemiría,gemiríamos,gemiríais,gemirían,gemirías,0.0006468018697407,moan
339,abstener,2248,me abstengo,te abstienes,se abstiene,nos abstenemos,os abstenéis,se abstienen,te abstenés,me abstenía,te abstenías,se abstenía,nos absteníamos,os absteníais,se abstenían,te abstenías,me abstuve,te abstuviste,se abstuvo,nos abstuvimos,os abstuvisteis,se abstuvieron,te abstuviste,me abstendré,te abstendrás,se abstendrá,nos abstendremos,os abstendréis,se abstendrán,te abstendrás,me abstendría,te abstendrías,se abstendría,nos abstendríamos,os abstendríais,se abstendrían,te abstendrías,0.0006468018697407,abstain
340,alquilar,2246,alquilo,alquilas,alquila,alquilamos,alquiláis,alquilan,alquilás,alquilaba,alquilabas,alquilaba,alquilábamos,alquilabais,alquilaban,alquilabas,alquilé,alquilaste,alquiló,alquilamos,alquilasteis,alquilaron,alquilaste,alquilaré,alquilarás,alquilará,alquilaremos,alquilaréis,alquilarán,alquilarás,alquilaría,alquilarías,alquilaría,alquilaríamos,alquilaríais,alquilarían,alquilarías,0.0006462264232374,rent
341,kilometrar,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006430614674691,kilometrar
342,apoyar,2233,apoyo,apoyas,apoya,apoyamos,apoyáis,apoyan,apoyás,apoyaba,apoyabas,apoyaba,apoyábamos,apoyabais,apoyaban,apoyabas,apoyé,apoyaste,apoyó,apoyamos,apoyasteis,apoyaron,apoyaste,apoyaré,apoyarás,apoyará,apoyaremos,apoyaréis,apoyarán,apoyarás,apoyaría,apoyarías,apoyaría,apoyaríamos,apoyaríais,apoyarían,apoyarías,0.0006424860209658,support
343,esquiar,2231,esquío,esquías,esquía,esquiamos,esquiáis,esquían,esquiás,esquiaba,esquiabas,esquiaba,esquiábamos,esquiabais,esquiaban,esquiabas,esquié,esquiaste,esquió,esquiamos,esquiasteis,esquiaron,esquiaste,esquiaré,esquiarás,esquiará,esquiaremos,esquiaréis,esquiarán,esquiarás,esquiaría,esquiarías,esquiaría,esquiaríamos,esquiaríais,esquiarían,esquiarías,0.0006419105744624,ski
344,amenazar,2229,amenazo,amenazas,amenaza,amenazamos,amenazáis,amenazan,amenazás,amenazaba,amenazabas,amenazaba,amenazábamos,amenazabais,amenazaban,amenazabas,amenacé,amenazaste,amenazó,amenazamos,amenazasteis,amenazaron,amenazaste,amenazaré,amenazarás,amenazará,amenazaremos,amenazaréis,amenazarán,amenazarás,amenazaría,amenazarías,amenazaría,amenazaríamos,amenazaríais,amenazarían,amenazarías,0.0006413351279591,Threaten
345,avisar,2228,aviso,avisas,avisa,avisamos,avisáis,avisan,avisás,avisaba,avisabas,avisaba,avisábamos,avisabais,avisaban,avisabas,avisé,avisaste,avisó,avisamos,avisasteis,avisaron,avisaste,avisaré,avisarás,avisará,avisaremos,avisaréis,avisarán,avisarás,avisaría,avisarías,avisaría,avisaríamos,avisaríais,avisarían,avisarías,0.0006410474047074,warning
346,planear,2228,planeo,planeas,planea,planeamos,planeáis,planean,planeás,planeaba,planeabas,planeaba,planeábamos,planeabais,planeaban,planeabas,planeé,planeaste,planeó,planeamos,planeasteis,planearon,planeaste,planearé,planearás,planeará,planearemos,planearéis,planearán,planearás,planearía,planearías,planearía,planearíamos,planearíais,planearían,planearías,0.0006410474047074,plan
347,abocar,2224,aboco,abocas,aboca,abocamos,abocáis,abocan,abocás,abocaba,abocabas,abocaba,abocábamos,abocabais,abocaban,abocabas,aboqué,abocaste,abocó,abocamos,abocasteis,abocaron,abocaste,abocaré,abocarás,abocará,abocaremos,abocaréis,abocarán,abocarás,abocaría,abocarías,abocaría,abocaríamos,abocaríais,abocarían,abocarías,0.0006398965117008,apocalypse
348,desaparecer,2220,desaparezco,desapareces,desaparece,desaparecemos,desaparecéis,desaparecen,desaparecés,desaparecía,desaparecías,desaparecía,desaparecíamos,desaparecíais,desaparecían,desaparecías,desaparecí,desapareciste,desapareció,desaparecimos,desaparecisteis,desaparecieron,desapareciste,desapareceré,desaparecerás,desaparecerá,desapareceremos,desapareceréis,desaparecerán,desaparecerás,desaparecería,desaparecerías,desaparecería,desapareceríamos,desapareceríais,desaparecerían,desaparecerías,0.0006387456186941,disappear
